Utility Name,Counties Covered,Submission Platform,Has Public API,Website URL,Form / Portal URL,Submission Contact / Notes
JEA (Jacksonville Electric Authority),Duval,Email,No,https://www.jea.com,https://www.jea.com/about/water_supply/backflow/,backflow@jea.com — 30-day window; JEA-approved Qualified Vendors only
City of Tampa Water Department,"Hillsborough (city limits)",SwiftComply,No,https://www.tampa.gov,https://tampafl.c3swift.com,Register via FieldQuality@tampa.gov — 7-calendar-day submission deadline
Hillsborough County Utilities (unincorporated),"Hillsborough (unincorporated)",Backflow BMP,No,https://www.hcfl.gov,https://bmpcomp.com/backflow/,Separate from City of Tampa; recently migrated from paper forms
Orange County Utilities,Orange,Email (PDF),No,https://www.orangecountyfl.net,https://www.orangecountyfl.net/WaterGarbageRecycling/CrossConnectionControl.aspx,Water.Backflow@ocfl.net — own PDF form required
OUC (Orlando Utilities Commission),"Orange (City of Orlando)",OUC Water Distribution Division,No,https://www.ouc.com,https://www.ouc.com/about/water-services/backflow/,OUC tests residential itself; commercial submits to Water Distribution Division
Toho Water Authority,Osceola,Email,No,https://www.tohowater.com,https://www.tohowater.com/our-water/cross-connection-control-program,BackflowCompliance@tohowater.com — Toho tests residential itself ($3/mo); commercial annual
KUA (Kissimmee Utility Authority),Osceola,Unknown — contact KUA,No,https://www.kua.com,https://www.kua.com,KUA is primarily electric; water is Toho/city
Seminole County Utilities,Seminole,Email,No,https://www.seminolecountyfl.gov,https://www.seminolecountyfl.gov/departments-services/utilities/water/ccc-program,cwyatt@seminolecountyfl.gov — affirmations within 24-48 hours after repairs
Palm Beach County Water Utilities (PBCWUD),Palm Beach,E-Backflow (proprietary portal),No,https://www.discover.pbc.gov/waterutilities,https://ebill.pbcwater.com/ebackflow,Pre-register: WUDEBACKFLOWNOTIFICATION@pbcwater.com
City of West Palm Beach,Palm Beach,E-Backflow / manual,No,https://www.wpb.org,https://www.wpb.org/Departments/Public-Utilities/BackflowCross-Connection,60-day window for new installations; own Cross-Connection Control Manual
Broward County Water & Wastewater Services,"Broward (unincorporated)",BSI Online,No,https://www.broward.org,https://www.broward.org/WaterServices/Pages/BackflowCertification.aspx,bsionline.com — property owner CCN (Customer Confirmation Number) required
City of Fort Lauderdale,Broward,BSI Online,No,https://www.fortlauderdale.gov,https://www.fortlauderdale.gov/government/departments-i-z/public-works/environmental-operations/environmental-regulatory-affairs/backflow-cross-connection,$45 city recertification admin fee per assembly; Permit Number required on form
City of Davie,Broward,BSI Online,No,https://www.davie-fl.gov,https://www.davie-fl.gov/373/Backflow-Cross-Connection-Control,BSI mails reminders to property owners; tester submits via bsionline.com
City of Pompano Beach,Broward,BSI Online,No,https://www.pompanobeachfl.gov,https://www.pompanobeachfl.gov/residents/utilities/backflow,BSI manages program database
City of Plantation,Broward,BSI Online,No,https://www.plantation.org,https://www.plantation.org/government/departments/utilities/utility-account-customer-service/backflow-permits,BSI since Feb 15 2015; utility Customer Service no longer handles submissions
City of Dania Beach,Broward,TrackMyBackflow (Aqua Backflow),No,https://www.daniabeachfl.gov,https://www.daniabeachfl.gov/2718/Backflow-Control,trackmybackflow.com — free tester registration; Aqua Backflow manages program
City of Holly Hill,Volusia,BSI Online,No,https://www.hollyhillfl.org,https://www.hollyhillfl.org/publicworks/page/cross-connection-control-program-online-backflow-testing-reporting,BSI since Feb 1 2019
City of Boca Raton,Palm Beach,BSI Online,No,https://www.myboca.us,https://www.myboca.us,BSI manages inspection program
City of Delray Beach,Palm Beach,VEPO CrossConnex,No,https://www.delraybeachfl.gov,https://www.delraybeachfl.gov/government/city-departments/utilities/cross-connection-control,vepocc.com — mandatory Feb 1 2021; tester collects $15/submission from owner; VCC# required
